tconst,nconst,director_id
tt0212719,nm0003875,554
tt0212720,nm0000229,45
tt0212742,nm0546159,7889
tt0212815,nm0080120,1759
tt0212826,nm0516360,7524
tt0212830,nm0001681,328
tt0212867,nm0006518,743
tt0212873,nm0133773,2466
tt0212879,nm0442207,6481
tt0212881,nm0799302,11043
tt0212910,nm0145309,2604
tt0212974,nm0365615,5437
tt0212985,nm0000631,142
tt0213113,nm0915004,12533
tt0213127,nm0195980,3318
tt0213127,nm0564873,8121
tt0213127,nm0596294,8499
tt0213149,nm0000881,191
tt0213203,nm0075010,1681
tt0213203,nm0218450,3583
tt0213205,nm0002593,439
tt0213266,nm0384349,5672
tt0213446,nm0211408,3492
tt0213561,nm0862692,11835
tt0213642,nm0000838,183
tt0213690,nm0295345,4529
tt0213790,nm0399737,5873
tt0213802,nm0411809,6067
tt0213847,nm0868153,11910
tt0213890,nm0159147,2839
tt0213985,nm0765225,10569
tt0214032,nm0635869,9026
tt0214106,nm0534979,7743
tt0214140,nm0504766,7358
tt0214277,nm0899854,12327
tt0214388,nm0205157,3430
tt0214520,nm0886876,12168
tt0214529,nm0758933,10479
tt0214548,nm0787768,10890
tt0214619,nm0328805,4957
tt0214638,nm0765392,10575
tt0214646,nm0651706,9232
tt0214728,nm0150906,2684
tt0214757,nm0822540,11338
tt0214871,nm0504802,7359
tt0214878,nm0013041,897
tt0215129,nm0680846,9550
tt0215135,nm0007142,804
tt0215139,nm0443613,6511
tt0215223,nm0097806,1989
tt0215232,nm0106841,2109
tt0215458,nm0290470,4472
tt0215516,nm0783544,10837
tt0215519,nm0576197,8241
tt0215545,nm0000490,110
tt0215679,nm0371462,5506
tt0215681,nm0772691,10690
tt0215719,nm1131495,16424
tt0215727,nm0507425,7407
tt0215750,nm0000269,55
tt0215841,nm0005628,722
tt0215941,nm0544456,7868
tt0216105,nm0165580,2935
tt0216196,nm0200500,3366
tt0216216,nm0006854,774
tt0216250,nm0465636,6824
tt0216256,nm0479903,7015
tt0216279,nm0523276,7607
tt0216290,nm0673531,9469
tt0216417,nm0892630,12237
tt0216522,nm0105317,2095
tt0216578,nm0219156,3590
tt0216584,nm0802551,11086
tt0216587,nm0887708,12181
tt0216620,nm0928691,12691
tt0216625,nm0359734,5372
tt0216651,nm0282027,4367
tt0216651,nm0159109,2836
tt0216669,nm0770234,10651
tt0216689,nm0000801,175
tt0216746,nm0470971,6901
tt0216772,nm0011950,887
tt0216787,nm0418450,6151
tt0216799,nm0159402,2843
tt0216800,nm0596962,8514
tt0216837,nm0506312,7387
tt0216841,nm0648902,9201
